ID_TA,newIsCapital
d1912643,1
d7992032,1
d8632781,1
d1358776,1
d6864963,0
d12503536,0
d5808504,0
d3199765,1
d12845029,1
d8020681,1
d10696479,0
d12402429,1
d2259559,1
d12107166,1
d10859423,1
d6633059,1
d10266473,1
d8659568,1
d3702312,1
d8155327,1
d10524693,0
d10058810,1
d2508041,1
d1018940,0
d7617571,1
d12018194,1
d10060659,1
d11616946,1
d2040769,1
d5776152,1
d11841754,1
d3591150,1
d8791087,1
d3543959,0
d5263694,1
d10302313,1
d3267260,0
d13322935,1
d3543081,1
d12447161,0
d12354572,1
d953033,1
d6031001,0
d5799345,1
d5981466,1
d7276832,1
d12550964,1
d4150215,1
d7952588,0
d719083,1
d5408595,1
d12391114,1
d7332770,1
d1785149,1
d4588301,1
d7123553,1
d4295258,0
d697485,1
d4353632,0
d1035491,1
d12676684,1
d11770289,1
d5587837,0
d813990,1
d2259146,1
d10073699,1
d1099373,0
d797017,0
d11687952,1
d1019904,1
d4043773,1
d4226084,0
d13172414,1
d12911907,0
d3322305,1
d7805333,1
d6432242,1
d2478316,1
d4600249,1
d696117,1
d2176100,1
d3345223,1
d7361724,1
d5532357,1
d1359957,1
d2589168,0
d10027275,1
d1125197,0
d9459585,1
d5599563,1
d7623654,0
d2632522,1
d7332678,1
d10485816,1
d11688138,1
d5943832,1
d4768085,1
d2255569,0
d4597916,0
d7916036,1
d12350248,1
d1109944,1
d13197631,1
d918784,0
d8772965,1
d1324029,0
d6632829,0
d11667577,1
d12243659,1
d2445499,1
d2577881,0
d11951657,1
d751711,0
d3902868,1
d5487718,1
d7995801,1
d1331796,1
d8536895,0
d1328183,0
d10392913,1
d1097475,0
d7967318,0
d797737,0
d2226584,1
d13174390,1
d4052905,1
d5504724,1
d12681857,1
d7241440,1
d13094972,1
d5442784,1
d4942642,1
d2524119,1
d4770241,1
d8797372,1
d1496204,1
d11754798,1
d4085056,1
d12867794,0
d779921,1
d8118086,0
d2321047,1
d7994738,1
d10226097,0
d3612769,1
d697526,1
d10619071,1
d4600226,1
d10064175,1
d4476199,1
d9714837,1
d6403079,1
d5867903,0
d680500,1
d12111665,1
d5058767,1
d12949592,1
d13087286,0
d3671977,1
d1341738,1
d12556149,1
d11999809,1
d12710453,0
d4093614,1
d11995686,1
d694885,1
d2470800,0
d13284434,1
d13206789,1
d10336129,1
d4068550,1
d807906,1
d11998026,1
d11721387,1
d10498197,1
d12441400,0
d2722599,0
d7949523,1
d8734791,1
d2328380,1
d12068247,1
d10520643,1
d8401717,1
d2424319,1
d10677156,1
d9562461,1
d5979704,1
d13139218,1
d7214349,1
d3193915,1
d3691545,0
d795702,1
d2697097,0
d8124300,1
d3316640,1
d13001826,1
d793183,1
d12181566,0
d10242690,1
d7243246,1
d733450,1
d4014123,1
d10735345,1
d13198202,0
d5532050,1
d2085183,1
d6946964,0
d8661176,0
d8293300,1
d3873744,1
d12667708,1
d5322631,1
d734267,1
d719805,1
d4185485,1
d3849968,0
d11903856,1
d8660001,1
d4844610,1
d6519298,1
d11909263,1
d12999507,1
d12336001,0
d12254437,0
d2188472,1
d1347837,0
d8261215,1
d9741389,0
d8319709,1
d12572658,0
d12488103,1
d8857488,1
d4023512,1
d5264177,1
d1096951,1
d4946996,0
d1388962,1
d696038,1
d10070252,1
d10072291,1
d4814839,0
d11914515,0
d12598141,1
d1877226,1
d6703191,1
d5822584,1
d3912269,1
d3393987,1
d8729508,1
d1074698,1
d1953294,1
d10385156,0
d2011853,1
d3181518,1
d4961398,1
d1324782,0
d4506544,1
d5949148,1
d6603135,1
d715001,1
d4093995,1
d7359557,1
d5796187,1
d8635738,1
d3191302,1
d7621848,0
d2524764,0
d13064730,1
d719718,1
d5795989,1
d3192609,1
d5976718,1
d804943,0
d941095,1
d4436498,0
d8339930,0
d12875225,0
d6278406,0
d10039662,0
d811284,1
d5414878,1
d1035596,1
d953657,1
d12512228,1
d6206971,1
d3729391,1
d3970522,1
d10230660,0
d9984284,0
d785995,1
d4182633,1
d3405673,1
d10383695,1
d1489269,1
d1340332,0
d7146900,1
d2098938,1
d10533412,0
d10354665,1
d803842,1
d2477240,1
d1080720,0
d4293803,1
d780673,1
d4727188,0
d1103441,1
d1901926,0
d718909,1
d12423010,1
d13162505,0
d5872756,1
d3537392,0
d8599829,1
d12310002,1
d4585716,0
d10760580,1
d11888740,1
d8841562,1
d1039687,0
d2096546,1
d7734583,0
d6883153,1
d6672773,1
d6949479,1
d4211999,1
d4556019,1
d12049003,1
d12538734,1
d4930739,1
d10678700,0
d4697825,1
d944247,1
d695083,1
d4098079,0
d10395526,1
d789885,1
d4770088,1
d10331391,1
d1774775,1
d2323613,1
d12995806,1
d4748988,1
d3735127,1
d4591733,1
d813285,1
d6868018,1
d3242259,0
d6698437,1
d8736586,0
d1507237,1
d12384552,0
d3179035,0
d1545969,1
d1385082,0
d12081682,1
d779071,1
d5536153,1
d8415205,1
d1965515,1
d1231908,0
d5122063,1
d2320137,0
d1906552,1
d2484423,1
d7995957,1
d781928,0
d2204143,0
d10430050,1
d4268309,1
d5869951,1
d7730921,1
d1488977,1
d10724032,0
d3773630,0
d4769401,1
d12997561,1
d12170386,1
d798936,1
d3385038,1
d8602690,0
d8092415,1
d12359266,1
d3266560,0
d1874776,1
d12114896,1
d4133931,0
d5965027,1
d11923374,0
d1992130,1
d5865146,0
d1417391,0
d775579,1
d7336387,1
d7707930,1
d1820729,0
d3319308,0
d997803,0
d2625256,0
d959162,0
d12089348,1
d8591395,1
d9746677,1
d8774485,1
d12548187,1
d743790,1
d11749991,1
d782237,1
d2494164,1
d12113037,1
d8362340,1
d2046169,1
d8125299,1
d6530816,1
d12321528,1
d4956063,0
d3547447,1
d4054080,1
d8339764,0
d5442851,1
d9456227,1
d780485,1
d6618276,1
d784491,1
d7097810,1
d7996902,0
d3567816,1
d1119896,1
d1354477,1
d3218566,1
d1519258,1
d10292470,1
d8381040,1
d8121703,1
d10840545,1
d3535931,0
d11958460,0
d719923,1
d2179945,0
d8073030,1
d8580982,0
d11666969,1
d7990468,1
d5936523,1
d12098434,1
d10814311,1
d1648922,1
d10079338,1
d733353,1
d720652,1
d1097059,1
d12842987,1
d1771808,1
d3327962,1
d1097463,0
d2490014,1
d5522488,1
d12945640,1
d10445344,0
d7092943,0
d13001385,1
d10288341,0
d10903502,1
d2208132,1
d779012,1
d6780578,1
d1327268,1
d4593810,0
d12428801,1
d13226281,1
d2100338,0
d1360884,1
d4324827,1
d4156673,1
d12229735,1
d12481552,1
d5787627,1
d4781734,1
d7992689,0
d4769383,1
d4185793,1
d2361013,1
d1043805,1
d2517446,0
d3191953,1
d3478764,1
d10302492,0
d12630204,1
d1093837,1
d13109544,1
d2171461,1
d4129187,1
d783430,1
d2407506,0
d7908111,1
d8759915,1
d1208595,1
d904707,1
d7246537,1
d1884058,1
d3709334,1
d986276,0
d8677313,1
d2225278,1
d5614471,1
d3454924,1
d6697515,1
d787024,1
d9863670,1
d10333393,1
d12175079,1
d10106305,1
d3661709,1
d4227711,1
d7792070,1
d4600862,1
d5264429,0
d12410110,1
d4173077,1
d12242986,1
d2614607,1
d4768479,1
d5928128,1
d697036,1
d2021717,1
d10109314,1
d1038938,0
d4953429,1
d697571,0
d8524256,1
d7724601,1
d1093016,1
d8774881,0
d1082420,1
d12875617,1
d2390091,1
d1926325,0
d990817,1
d7097337,1
d5795578,1
d11842481,1
d12172734,1
d11906544,0
d2216928,1
d11543758,0
d3400459,1
d12557535,1
d783281,1
d4323006,1
d10026779,1
d6513977,1
d1224146,1
d6494498,1
d12563331,1
d8401819,1
d1029286,1
d718744,1
d1081584,1
d3735823,1
d4560491,0
d4799949,1
d11445075,1
d1336101,1
d12322989,1
d13150829,1
d8008981,1
d12921595,1
d1904460,1
