ID_TA,newIsQntyCS02-05
d1912643,1
d7992032,0
d8632781,0
d1358776,0
d6864963,1
d12503536,0
d5808504,1
d3199765,0
d12845029,0
d8020681,1
d10696479,0
d12402429,1
d2259559,1
d12107166,1
d10859423,1
d6633059,0
d10266473,1
d8659568,1
d3702312,0
d8155327,0
d10524693,1
d10058810,0
d2508041,1
d1018940,1
d7617571,1
d12018194,1
d10060659,0
d11616946,0
d2040769,0
d5776152,0
d11841754,0
d3591150,1
d8791087,0
d3543959,0
d5263694,1
d10302313,1
d3267260,0
d13322935,1
d3543081,0
d12447161,0
d12354572,1
d953033,1
d6031001,1
d5799345,0
d5981466,0
d7276832,0
d12550964,0
d4150215,1
d7952588,1
d719083,1
d5408595,1
d12391114,0
d7332770,1
d1785149,0
d4588301,0
d7123553,0
d4295258,0
d697485,0
d4353632,1
d1035491,0
d12676684,0
d11770289,0
d5587837,0
d813990,1
d2259146,0
d10073699,0
d1099373,1
d797017,1
d11687952,0
d1019904,1
d4043773,1
d4226084,1
d13172414,1
d12911907,0
d3322305,1
d7805333,0
d6432242,0
d2478316,1
d4600249,1
d696117,0
d2176100,1
d3345223,1
d7361724,0
d5532357,0
d1359957,0
d2589168,1
d10027275,0
d1125197,0
d9459585,1
d5599563,0
d7623654,0
d2632522,1
d7332678,1
d10485816,1
d11688138,1
d5943832,1
d4768085,0
d2255569,1
d4597916,1
d7916036,0
d12350248,0
d1109944,1
d13197631,1
d918784,1
d8772965,1
d1324029,1
d6632829,0
d11667577,0
d12243659,1
d2445499,0
d2577881,0
d11951657,0
d751711,1
d3902868,1
d5487718,1
d7995801,0
d1331796,1
d8536895,0
d1328183,0
d10392913,0
d1097475,1
d7967318,0
d797737,1
d2226584,0
d13174390,1
d4052905,1
d5504724,0
d12681857,0
d7241440,1
d13094972,0
d5442784,0
d4942642,0
d2524119,1
d4770241,0
d8797372,0
d1496204,1
d11754798,0
d4085056,1
d12867794,1
d779921,0
d8118086,1
d2321047,0
d7994738,0
d10226097,1
d3612769,0
d697526,1
d10619071,1
d4600226,0
d10064175,1
d4476199,0
d9714837,1
d6403079,1
d5867903,0
d680500,1
d12111665,0
d5058767,1
d12949592,0
d13087286,1
d3671977,1
d1341738,1
d12556149,0
d11999809,1
d12710453,1
d4093614,1
d11995686,0
d694885,1
d2470800,1
d13284434,0
d13206789,1
d10336129,0
d4068550,1
d807906,1
d11998026,1
d11721387,1
d10498197,0
d12441400,0
d2722599,1
d7949523,1
d8734791,0
d2328380,1
d12068247,0
d10520643,0
d8401717,0
d2424319,0
d10677156,0
d9562461,0
d5979704,0
d13139218,0
d7214349,1
d3193915,1
d3691545,0
d795702,0
d2697097,0
d8124300,1
d3316640,1
d13001826,1
d793183,0
d12181566,1
d10242690,0
d7243246,0
d733450,1
d4014123,1
d10735345,0
d13198202,1
d5532050,1
d2085183,1
d6946964,1
d8661176,1
d8293300,0
d3873744,0
d12667708,1
d5322631,1
d734267,1
d719805,1
d4185485,1
d3849968,0
d11903856,0
d8660001,1
d4844610,0
d6519298,0
d11909263,0
d12999507,0
d12336001,0
d12254437,1
d2188472,0
d1347837,0
d8261215,0
d9741389,1
d8319709,0
d12572658,1
d12488103,0
d8857488,1
d4023512,0
d5264177,1
d1096951,1
d4946996,0
d1388962,0
d696038,0
d10070252,1
d10072291,1
d4814839,0
d11914515,0
d12598141,0
d1877226,1
d6703191,1
d5822584,0
d3912269,0
d3393987,1
d8729508,1
d1074698,0
d1953294,0
d10385156,1
d2011853,1
d3181518,1
d4961398,0
d1324782,0
d4506544,1
d5949148,1
d6603135,1
d715001,0
d4093995,1
d7359557,1
d5796187,0
d8635738,0
d3191302,1
d7621848,0
d2524764,1
d13064730,1
d719718,1
d5795989,0
d3192609,1
d5976718,1
d804943,1
d941095,1
d4436498,1
d8339930,0
d12875225,1
d6278406,0
d10039662,0
d811284,1
d5414878,1
d1035596,0
d953657,1
d12512228,0
d6206971,1
d3729391,1
d3970522,1
d10230660,0
d9984284,0
d785995,0
d4182633,1
d3405673,1
d10383695,1
d1489269,0
d1340332,1
d7146900,0
d2098938,1
d10533412,0
d10354665,1
d803842,0
d2477240,1
d1080720,0
d4293803,0
d780673,1
d4727188,0
d1103441,0
d1901926,0
d718909,1
d12423010,0
d13162505,1
d5872756,1
d3537392,1
d8599829,0
d12310002,0
d4585716,0
d10760580,0
d11888740,0
d8841562,0
d1039687,1
d2096546,1
d7734583,0
d6883153,1
d6672773,0
d6949479,1
d4211999,1
d4556019,0
d12049003,0
d12538734,1
d4930739,1
d10678700,1
d4697825,0
d944247,1
d695083,1
d4098079,0
d10395526,0
d789885,1
d4770088,0
d10331391,1
d1774775,1
d2323613,1
d12995806,1
d4748988,1
d3735127,1
d4591733,1
d813285,1
d6868018,1
d3242259,1
d6698437,0
d8736586,0
d1507237,0
d12384552,1
d3179035,0
d1545969,1
d1385082,1
d12081682,1
d779071,1
d5536153,1
d8415205,1
d1965515,0
d1231908,0
d5122063,0
d2320137,1
d1906552,1
d2484423,0
d7995957,0
d781928,1
d2204143,1
d10430050,0
d4268309,1
d5869951,0
d7730921,0
d1488977,0
d10724032,0
d3773630,1
d4769401,1
d12997561,0
d12170386,1
d798936,1
d3385038,1
d8602690,1
d8092415,1
d12359266,0
d3266560,1
d1874776,1
d12114896,0
d4133931,0
d5965027,1
d11923374,1
d1992130,1
d5865146,1
d1417391,0
d775579,1
d7336387,0
d7707930,0
d1820729,0
d3319308,1
d997803,0
d2625256,0
d959162,0
d12089348,0
d8591395,1
d9746677,1
d8774485,1
d12548187,0
d743790,1
d11749991,0
d782237,1
d2494164,1
d12113037,0
d8362340,1
d2046169,0
d8125299,1
d6530816,1
d12321528,0
d4956063,1
d3547447,1
d4054080,0
d8339764,0
d5442851,0
d9456227,0
d780485,1
d6618276,1
d784491,1
d7097810,0
d7996902,0
d3567816,1
d1119896,0
d1354477,0
d3218566,1
d1519258,0
d10292470,1
d8381040,0
d8121703,1
d10840545,1
d3535931,1
d11958460,0
d719923,1
d2179945,1
d8073030,0
d8580982,1
d11666969,0
d7990468,0
d5936523,0
d12098434,1
d10814311,0
d1648922,1
d10079338,0
d733353,1
d720652,1
d1097059,0
d12842987,1
d1771808,1
d3327962,1
d1097463,1
d2490014,0
d5522488,1
d12945640,1
d10445344,1
d7092943,1
d13001385,0
d10288341,1
d10903502,1
d2208132,1
d779012,1
d6780578,1
d1327268,0
d4593810,1
d12428801,0
d13226281,0
d2100338,1
d1360884,0
d4324827,1
d4156673,0
d12229735,0
d12481552,1
d5787627,0
d4781734,0
d7992689,0
d4769383,0
d4185793,0
d2361013,1
d1043805,0
d2517446,1
d3191953,1
d3478764,1
d10302492,1
d12630204,0
d1093837,0
d13109544,0
d2171461,0
d4129187,0
d783430,1
d2407506,0
d7908111,1
d8759915,0
d1208595,1
d904707,1
d7246537,0
d1884058,0
d3709334,0
d986276,0
d8677313,0
d2225278,1
d5614471,0
d3454924,1
d6697515,0
d787024,1
d9863670,0
d10333393,0
d12175079,0
d10106305,0
d3661709,1
d4227711,0
d7792070,1
d4600862,1
d5264429,1
d12410110,1
d4173077,1
d12242986,0
d2614607,1
d4768479,1
d5928128,0
d697036,0
d2021717,0
d10109314,0
d1038938,0
d4953429,0
d697571,1
d8524256,1
d7724601,1
d1093016,1
d8774881,1
d1082420,1
d12875617,0
d2390091,1
d1926325,1
d990817,0
d7097337,1
d5795578,1
d11842481,0
d12172734,0
d11906544,0
d2216928,0
d11543758,0
d3400459,1
d12557535,1
d783281,1
d4323006,1
d10026779,0
d6513977,0
d1224146,1
d6494498,1
d12563331,0
d8401819,0
d1029286,1
d718744,1
d1081584,1
d3735823,0
d4560491,1
d4799949,0
d11445075,1
d1336101,0
d12322989,1
d13150829,1
d8008981,1
d12921595,0
d1904460,1
d779167,1
d4909559,1
d2437956,1
d1081959,1
d4410180,0
d1100325,1
d8090662,1
d3431140,1
d4818393,1
d697252,0
d1873223,0
d12947166,1
d4083721,1
d10389470,0
d2486144,1
d2267111,1
d10734451,0
d13171584,1
d3134650,0
d10737035,1
d3613533,1
d2648160,1
d10122352,1
d3785147,0
d7687905,1
d718937,0
d3192062,0
d12320220,0
d4768291,1
d5425608,1
d8517072,0
d5509232,0
d2084827,0
d10587448,1
d8811850,0
d12873448,0
d6727449,1
d10179197,0
d7311463,0
d12611007,0
d7047167,1
d2091250,1
d1037163,0
d1182786,0
d5220257,0
d11962971,1
d7690496,0
d12906918,0
d9765679,1
d4924798,0
d5865687,0
d7905491,1
d719237,1
d5942142,1
d1137212,0
d1020592,1
d9781450,0
