ID_TA,Number of Reviews
d1912643,194.0
d7992032,10.0
d8632781,688.0
d1358776,3.0
d6864963,84.0
d12503536,2.0
d5808504,50.0
d3199765,9.0
d12845029,nan
d8020681,55.0
d10696479,6.0
d12402429,42.0
d2259559,286.0
d12107166,10.0
d10859423,7.0
d6633059,28.0
d10266473,3.0
d8659568,7.0
d3702312,12.0
d8155327,12.0
d10524693,27.0
d10058810,nan
d2508041,52.0
d1018940,371.0
d7617571,18.0
d12018194,2.0
d10060659,11.0
d11616946,2.0
d2040769,4.0
d5776152,16.0
d11841754,16.0
d3591150,15.0
d8791087,nan
d3543959,4.0
d5263694,69.0
d10302313,20.0
d3267260,104.0
d13322935,2.0
d3543081,10.0
d12447161,7.0
d12354572,9.0
d953033,132.0
d6031001,73.0
d5799345,39.0
d5981466,7.0
d7276832,3.0
d12550964,4.0
d4150215,484.0
d7952588,41.0
d719083,281.0
d5408595,9.0
d12391114,5.0
d7332770,25.0
d1785149,257.0
d4588301,482.0
d7123553,4.0
d4295258,25.0
d697485,6.0
d4353632,554.0
d1035491,2.0
d12676684,4.0
d11770289,2.0
d5587837,26.0
d813990,1317.0
d2259146,1820.0
d10073699,8.0
d1099373,1060.0
d797017,112.0
d11687952,3.0
d1019904,157.0
d4043773,19.0
d4226084,12.0
d13172414,8.0
d12911907,2.0
d3322305,79.0
d7805333,3.0
d6432242,66.0
d2478316,138.0
d4600249,20.0
d696117,2340.0
d2176100,28.0
d3345223,19.0
d7361724,288.0
d5532357,10.0
d1359957,130.0
d2589168,283.0
d10027275,12.0
d1125197,25.0
d9459585,956.0
d5599563,45.0
d7623654,45.0
d2632522,21.0
d7332678,21.0
d10485816,29.0
d11688138,26.0
d5943832,1135.0
d4768085,27.0
d2255569,59.0
d4597916,21.0
d7916036,17.0
d12350248,3.0
d1109944,339.0
d13197631,nan
d918784,370.0
d8772965,3.0
d1324029,354.0
d6632829,28.0
d11667577,25.0
d12243659,nan
d2445499,29.0
d2577881,83.0
d11951657,9.0
d751711,1222.0
d3902868,48.0
d5487718,95.0
d7995801,3.0
d1331796,62.0
d8536895,26.0
d1328183,2.0
d10392913,16.0
d1097475,346.0
d7967318,30.0
d797737,211.0
d2226584,1012.0
d13174390,11.0
d4052905,459.0
d5504724,481.0
d12681857,6.0
d7241440,566.0
d13094972,2.0
d5442784,15.0
d4942642,28.0
d2524119,29.0
d4770241,3.0
d8797372,85.0
d1496204,154.0
d11754798,18.0
d4085056,134.0
d12867794,3.0
d779921,1256.0
d8118086,89.0
d2321047,182.0
d7994738,39.0
d10226097,32.0
d3612769,57.0
d697526,1768.0
d10619071,19.0
d4600226,2.0
d10064175,42.0
d4476199,47.0
d9714837,79.0
d6403079,85.0
d5867903,7.0
d680500,1352.0
d12111665,10.0
d5058767,9.0
d12949592,2.0
d13087286,3.0
d3671977,12.0
d1341738,175.0
d12556149,5.0
d11999809,2.0
d12710453,28.0
d4093614,88.0
d11995686,3.0
d694885,68.0
d2470800,773.0
d13284434,nan
d13206789,4.0
d10336129,7.0
d4068550,101.0
d807906,345.0
d11998026,209.0
d11721387,25.0
d10498197,5.0
d12441400,26.0
d2722599,4.0
d7949523,32.0
d8734791,11.0
d2328380,36.0
d12068247,nan
d10520643,19.0
d8401717,6.0
d2424319,nan
d10677156,7.0
d9562461,39.0
d5979704,5.0
d13139218,nan
d7214349,177.0
d3193915,2.0
d3691545,233.0
d795702,486.0
d2697097,143.0
d8124300,816.0
d3316640,65.0
d13001826,3.0
d793183,928.0
d12181566,23.0
d10242690,69.0
d7243246,nan
d733450,313.0
d4014123,779.0
d10735345,2.0
d13198202,4.0
d5532050,68.0
d2085183,178.0
d6946964,70.0
d8661176,94.0
d8293300,25.0
d3873744,42.0
d12667708,9.0
d5322631,49.0
d734267,52.0
d719805,205.0
d4185485,20.0
d3849968,15.0
d11903856,2.0
d8660001,nan
d4844610,14.0
d6519298,35.0
d11909263,5.0
d12999507,2.0
d12336001,5.0
d12254437,15.0
d2188472,85.0
d1347837,9.0
d8261215,15.0
d9741389,72.0
d8319709,6.0
d12572658,nan
d12488103,3.0
d8857488,24.0
d4023512,302.0
d5264177,39.0
d1096951,292.0
d4946996,nan
d1388962,376.0
d696038,956.0
d10070252,19.0
d10072291,40.0
d4814839,9.0
d11914515,6.0
d12598141,4.0
d1877226,255.0
d6703191,60.0
d5822584,59.0
d3912269,3.0
d3393987,2.0
d8729508,45.0
d1074698,15.0
d1953294,678.0
d10385156,88.0
d2011853,121.0
d3181518,1495.0
d4961398,5.0
d1324782,20.0
d4506544,23.0
d5949148,183.0
d6603135,1068.0
d715001,3.0
d4093995,2.0
d7359557,87.0
d5796187,22.0
d8635738,2.0
d3191302,16.0
d7621848,46.0
d2524764,45.0
d13064730,16.0
d719718,278.0
d5795989,5.0
d3192609,34.0
d5976718,67.0
d804943,64.0
d941095,110.0
d4436498,122.0
d8339930,nan
d12875225,59.0
d6278406,4.0
d10039662,11.0
d811284,44.0
d5414878,97.0
d1035596,15.0
d953657,143.0
d12512228,8.0
d6206971,87.0
d3729391,17.0
d3970522,123.0
d10230660,31.0
d9984284,13.0
d785995,548.0
d4182633,52.0
d3405673,121.0
d10383695,13.0
d1489269,93.0
d1340332,142.0
d7146900,19.0
d2098938,51.0
d10533412,3.0
d10354665,14.0
d803842,621.0
d2477240,40.0
d1080720,554.0
d4293803,6.0
d780673,82.0
d4727188,9.0
d1103441,20.0
d1901926,6.0
d718909,11.0
d12423010,153.0
d13162505,13.0
d5872756,256.0
d3537392,51.0
d8599829,193.0
d12310002,8.0
d4585716,37.0
d10760580,4.0
d11888740,19.0
d8841562,11.0
d1039687,47.0
d2096546,121.0
d7734583,16.0
d6883153,67.0
d6672773,56.0
d6949479,245.0
d4211999,98.0
d4556019,6.0
d12049003,nan
d12538734,38.0
d4930739,382.0
d10678700,17.0
d4697825,105.0
d944247,75.0
d695083,121.0
d4098079,52.0
d10395526,55.0
d789885,51.0
d4770088,3.0
d10331391,78.0
d1774775,123.0
d2323613,137.0
d12995806,8.0
d4748988,42.0
d3735127,16.0
d4591733,9.0
d813285,2490.0
d6868018,172.0
d3242259,37.0
d6698437,31.0
d8736586,6.0
d1507237,440.0
d12384552,nan
d3179035,32.0
d1545969,1806.0
d1385082,258.0
d12081682,9.0
d779071,1103.0
d5536153,17.0
d8415205,774.0
d1965515,39.0
d1231908,484.0
d5122063,15.0
d2320137,87.0
d1906552,185.0
d2484423,12.0
d7995957,171.0
d781928,590.0
d2204143,1063.0
d10430050,9.0
d4268309,31.0
d5869951,2.0
d7730921,6.0
d1488977,1133.0
d10724032,nan
d3773630,252.0
d4769401,14.0
d12997561,5.0
d12170386,34.0
d798936,69.0
d3385038,53.0
d8602690,250.0
d8092415,35.0
d12359266,2.0
d3266560,18.0
d1874776,24.0
d12114896,nan
d4133931,13.0
d5965027,30.0
d11923374,51.0
d1992130,200.0
d5865146,35.0
d1417391,34.0
d775579,274.0
d7336387,20.0
d7707930,102.0
d1820729,15.0
d3319308,19.0
d997803,6.0
d2625256,6.0
d959162,12.0
d12089348,87.0
d8591395,78.0
d9746677,132.0
d8774485,92.0
d12548187,7.0
d743790,80.0
d11749991,3.0
d782237,140.0
d2494164,76.0
d12113037,7.0
d8362340,77.0
d2046169,20.0
d8125299,156.0
d6530816,47.0
d12321528,17.0
d4956063,50.0
d3547447,1024.0
d4054080,4.0
d8339764,3.0
d5442851,nan
d9456227,3.0
d780485,523.0
d6618276,66.0
d784491,100.0
d7097810,3.0
d7996902,nan
d3567816,161.0
d1119896,1067.0
d1354477,nan
d3218566,107.0
d1519258,9.0
d10292470,92.0
d8381040,9.0
d8121703,125.0
d10840545,26.0
d3535931,125.0
d11958460,nan
d719923,116.0
d2179945,127.0
d8073030,7.0
d8580982,32.0
d11666969,8.0
d7990468,51.0
d5936523,2.0
d12098434,nan
d10814311,4.0
d1648922,438.0
d10079338,nan
d733353,329.0
d720652,7.0
d1097059,8.0
d12842987,nan
d1771808,250.0
d3327962,114.0
d1097463,253.0
d2490014,20.0
d5522488,155.0
d12945640,5.0
d10445344,17.0
d7092943,13.0
d13001385,2.0
d10288341,12.0
d10903502,26.0
d2208132,32.0
d779012,3135.0
d6780578,68.0
d1327268,36.0
d4593810,3.0
d12428801,15.0
d13226281,nan
d2100338,44.0
d1360884,7.0
d4324827,25.0
d4156673,3.0
d12229735,nan
d12481552,84.0
d5787627,17.0
d4781734,12.0
d7992689,3.0
d4769383,139.0
d4185793,13.0
d2361013,319.0
d1043805,nan
d2517446,50.0
d3191953,142.0
d3478764,99.0
d10302492,16.0
d12630204,9.0
d1093837,7.0
d13109544,12.0
d2171461,98.0
d4129187,13.0
d783430,65.0
d2407506,4.0
d7908111,132.0
d8759915,6.0
d1208595,151.0
