ID_TA,newIsPriceLevMin
d1912643,0
d7992032,1
d8632781,0
d1358776,1
d6864963,0
d12503536,1
d5808504,1
d3199765,1
d12845029,1
d8020681,1
d10696479,1
d12402429,0
d2259559,0
d12107166,0
d10859423,0
d6633059,0
d10266473,1
d8659568,0
d3702312,0
d8155327,0
d10524693,0
d10058810,1
d2508041,0
d1018940,0
d7617571,1
d12018194,1
d10060659,1
d11616946,1
d2040769,1
d5776152,1
d11841754,1
d3591150,0
d8791087,1
d3543959,1
d5263694,1
d10302313,0
d3267260,0
d13322935,0
d3543081,0
d12447161,1
d12354572,1
d953033,0
d6031001,0
d5799345,1
d5981466,1
d7276832,1
d12550964,1
d4150215,0
d7952588,1
d719083,0
d5408595,1
d12391114,1
d7332770,1
d1785149,0
d4588301,0
d7123553,1
d4295258,0
d697485,1
d4353632,0
d1035491,1
d12676684,1
d11770289,1
d5587837,1
d813990,1
d2259146,0
d10073699,1
d1099373,0
d797017,0
d11687952,1
d1019904,0
d4043773,1
d4226084,1
d13172414,0
d12911907,1
d3322305,0
d7805333,1
d6432242,0
d2478316,0
d4600249,1
d696117,0
d2176100,1
d3345223,1
d7361724,0
d5532357,0
d1359957,0
d2589168,1
d10027275,1
d1125197,0
d9459585,0
d5599563,1
d7623654,1
d2632522,0
d7332678,0
d10485816,0
d11688138,0
d5943832,0
d4768085,1
d2255569,1
d4597916,1
d7916036,0
d12350248,1
d1109944,0
d13197631,1
d918784,0
d8772965,1
d1324029,0
d6632829,1
d11667577,1
d12243659,0
d2445499,0
d2577881,1
d11951657,1
d751711,0
d3902868,0
d5487718,0
d7995801,1
d1331796,1
d8536895,1
d1328183,1
d10392913,1
d1097475,0
d7967318,1
d797737,0
d2226584,0
d13174390,0
d4052905,0
d5504724,0
d12681857,1
d7241440,0
d13094972,1
d5442784,1
d4942642,1
d2524119,1
d4770241,1
d8797372,0
d1496204,0
d11754798,1
d4085056,1
d12867794,0
d779921,0
d8118086,0
d2321047,0
d7994738,1
d10226097,0
d3612769,1
d697526,0
d10619071,0
d4600226,1
d10064175,0
d4476199,0
d9714837,1
d6403079,0
d5867903,1
d680500,0
d12111665,1
d5058767,1
d12949592,1
d13087286,1
d3671977,0
d1341738,0
d12556149,1
d11999809,1
d12710453,0
d4093614,0
d11995686,1
d694885,0
d2470800,0
d13284434,1
d13206789,0
d10336129,1
d4068550,0
d807906,0
d11998026,0
d11721387,1
d10498197,1
d12441400,0
d2722599,1
d7949523,0
d8734791,1
d2328380,0
d12068247,1
d10520643,1
d8401717,1
d2424319,1
d10677156,1
d9562461,1
d5979704,1
d13139218,1
d7214349,0
d3193915,1
d3691545,0
d795702,0
d2697097,1
d8124300,0
d3316640,0
d13001826,1
d793183,0
d12181566,0
d10242690,1
d7243246,1
d733450,0
d4014123,0
d10735345,1
d13198202,0
d5532050,1
d2085183,0
d6946964,1
d8661176,0
d8293300,1
d3873744,1
d12667708,1
d5322631,1
d734267,0
d719805,0
d4185485,0
d3849968,0
d11903856,1
d8660001,0
d4844610,1
d6519298,0
d11909263,1
d12999507,1
d12336001,1
d12254437,0
d2188472,0
d1347837,1
d8261215,1
d9741389,0
d8319709,1
d12572658,0
d12488103,1
d8857488,0
d4023512,0
d5264177,1
d1096951,0
d4946996,1
d1388962,0
d696038,0
d10070252,0
d10072291,0
d4814839,0
d11914515,1
d12598141,1
d1877226,0
d6703191,0
d5822584,0
d3912269,1
d3393987,1
d8729508,1
d1074698,1
d1953294,0
d10385156,0
d2011853,0
d3181518,0
d4961398,1
d1324782,1
d4506544,0
d5949148,0
d6603135,1
d715001,1
d4093995,0
d7359557,0
d5796187,1
d8635738,0
d3191302,1
d7621848,1
d2524764,0
d13064730,0
d719718,0
d5795989,1
d3192609,1
d5976718,0
d804943,0
d941095,1
d4436498,0
d8339930,1
d12875225,0
d6278406,1
d10039662,1
d811284,0
d5414878,0
d1035596,1
d953657,0
d12512228,1
d6206971,0
d3729391,0
d3970522,0
d10230660,1
d9984284,1
d785995,0
d4182633,0
d3405673,0
d10383695,0
d1489269,0
d1340332,0
d7146900,0
d2098938,0
d10533412,1
d10354665,1
d803842,0
d2477240,1
d1080720,0
d4293803,1
d780673,0
d4727188,1
d1103441,1
d1901926,1
d718909,0
d12423010,0
d13162505,0
d5872756,0
d3537392,1
d8599829,0
d12310002,0
d4585716,1
d10760580,1
d11888740,0
d8841562,0
d1039687,0
d2096546,0
d7734583,1
d6883153,0
d6672773,1
d6949479,0
d4211999,0
d4556019,1
d12049003,1
d12538734,1
d4930739,0
d10678700,0
d4697825,0
d944247,0
d695083,0
d4098079,1
d10395526,0
d789885,0
d4770088,1
d10331391,0
d1774775,0
d2323613,0
d12995806,0
d4748988,1
d3735127,1
d4591733,1
d813285,0
d6868018,0
d3242259,0
d6698437,0
d8736586,1
d1507237,0
d12384552,1
d3179035,1
d1545969,0
d1385082,0
d12081682,0
d779071,0
d5536153,0
d8415205,0
d1965515,1
d1231908,0
d5122063,1
d2320137,0
d1906552,0
d2484423,1
d7995957,0
d781928,0
d2204143,0
d10430050,1
d4268309,0
d5869951,1
d7730921,1
d1488977,0
d10724032,1
d3773630,1
d4769401,0
d12997561,1
d12170386,0
d798936,0
d3385038,0
d8602690,0
d8092415,0
d12359266,1
d3266560,1
d1874776,1
d12114896,1
d4133931,0
d5965027,1
d11923374,0
d1992130,0
d5865146,1
d1417391,1
d775579,0
d7336387,1
d7707930,1
d1820729,1
d3319308,0
d997803,1
d2625256,1
d959162,1
d12089348,0
d8591395,1
d9746677,0
d8774485,0
d12548187,1
d743790,0
d11749991,1
d782237,0
d2494164,0
d12113037,1
d8362340,1
d2046169,0
d8125299,1
d6530816,0
d12321528,1
d4956063,0
d3547447,0
d4054080,1
d8339764,1
d5442851,1
d9456227,0
d780485,0
d6618276,0
d784491,1
d7097810,1
d7996902,1
d3567816,1
d1119896,0
d1354477,1
d3218566,0
d1519258,0
d10292470,0
d8381040,1
d8121703,0
d10840545,1
d3535931,0
d11958460,1
d719923,0
d2179945,0
d8073030,1
d8580982,1
d11666969,1
d7990468,0
d5936523,1
d12098434,1
d10814311,1
d1648922,0
d10079338,0
d733353,0
d720652,1
d1097059,1
d12842987,0
d1771808,0
d3327962,0
d1097463,0
d2490014,1
d5522488,0
d12945640,1
d10445344,1
d7092943,1
d13001385,1
d10288341,0
d10903502,0
d2208132,0
d779012,0
d6780578,0
d1327268,0
d4593810,1
d12428801,1
d13226281,1
d2100338,1
d1360884,1
d4324827,1
d4156673,1
d12229735,1
d12481552,0
d5787627,1
d4781734,1
d7992689,1
d4769383,1
d4185793,1
d2361013,0
d1043805,1
d2517446,1
d3191953,0
d3478764,1
d10302492,0
d12630204,1
d1093837,1
d13109544,0
d2171461,0
d4129187,0
d783430,0
d2407506,1
d7908111,0
d8759915,1
d1208595,0
d904707,1
d7246537,1
d1884058,0
d3709334,1
d986276,0
d8677313,0
d2225278,1
d5614471,1
d3454924,0
d6697515,1
d787024,0
d9863670,0
d10333393,0
d12175079,0
d10106305,0
d3661709,0
d4227711,1
d7792070,1
d4600862,0
d5264429,0
d12410110,0
d4173077,1
d12242986,0
d2614607,1
d4768479,0
d5928128,0
d697036,0
d2021717,0
d10109314,1
d1038938,1
d4953429,1
d697571,0
d8524256,0
d7724601,1
d1093016,0
d8774881,0
d1082420,0
d12875617,1
d2390091,0
d1926325,0
d990817,1
d7097337,1
d5795578,0
d11842481,1
d12172734,1
d11906544,0
d2216928,0
d11543758,1
d3400459,0
d12557535,0
d783281,0
d4323006,0
d10026779,1
d6513977,1
d1224146,0
d6494498,1
d12563331,0
d8401819,1
d1029286,0
d718744,0
d1081584,1
d3735823,1
d4560491,1
d4799949,1
d11445075,1
d1336101,1
d12322989,1
d13150829,0
d8008981,1
d12921595,1
d1904460,0
d779167,0
d4909559,1
d2437956,0
d1081959,0
d4410180,0
d1100325,1
d8090662,0
d3431140,1
d4818393,0
d697252,1
d1873223,0
d12947166,0
d4083721,0
d10389470,0
d2486144,1
d2267111,0
d10734451,1
d13171584,0
d3134650,0
d10737035,0
d3613533,0
d2648160,0
d10122352,1
d3785147,1
d7687905,0
d718937,0
d3192062,0
d12320220,1
d4768291,1
d5425608,1
d8517072,1
d5509232,0
d2084827,0
d10587448,1
d8811850,0
d12873448,1
d6727449,1
d10179197,1
d7311463,1
d12611007,0
d7047167,0
d2091250,0
d1037163,1
d1182786,0
d5220257,1
d11962971,0
d7690496,1
d12906918,1
d9765679,1
d4924798,1
d5865687,0
d7905491,0
d719237,1
d5942142,0
d1137212,0
d1020592,0
d9781450,1
d4872826,0
d13203526,0
d5122174,1
d813958,1
d7247750,0
d7312499,0
d7644937,1
d10028124,1
d2719603,1
d1013794,0
d10784649,1
d2620190,0
d10040334,1
d8419110,0
d12685574,1
d9603011,0
d1852620,1
d11679759,0
d12112547,1
d3805143,1
d3610708,0
d6882587,1
d5962368,1
d4424572,1
d3898172,0
d9739262,1
d2637154,0
d3622799,0
d12947099,0
d1971797,1
d6981542,0
d10701333,1
d7624770,0
d2271370,0
d10047471,0
d10266436,0
d4770035,1
d2044612,0
d10271724,1
d10169867,0
d8284781,1
d1039067,1
d878520,0
d12902522,1
d12323685,1
d11861153,1
d7591680,0
d1070166,0
d2643319,0
d12417709,1
d813925,0
d12206760,1
d10769792,1
d731204,0
d10477806,1
d1016160,0
d8429273,0
d11958431,1
d11895495,0
d2465469,0
d951933,1
d2258959,0
d1043439,0
d7803810,1
d3308325,1
d1553821,0
d7804627,0
d1963456,0
d5440481,1
d4225439,0
d7933036,1
d10339269,0
d2701946,0
d8511258,0
d12598682,1
d8571233,1
d1018974,0
d10878563,0
d10250368,0
d11631425,0
d850178,0
d5818174,1
d3780762,1
d12936186,0
d9752550,1
d1186842,0
d4875639,1
d12996130,0
d952068,0
d1095455,0
d6813236,1
d4418101,1
d780204,0
d1136782,0
d7274833,1
d12500357,1
d991104,0
d4823847,1
d5077935,1
