ID_TA,newQntyCS
d1912643,3
d7992032,1
d8632781,7
d1358776,1
d6864963,3
d12503536,1
d5808504,2
d3199765,1
d12845029,1
d8020681,3
d10696479,1
d12402429,3
d2259559,4
d12107166,2
d10859423,3
d6633059,1
d10266473,4
d8659568,2
d3702312,1
d8155327,1
d10524693,2
d10058810,1
d2508041,3
d1018940,5
d7617571,2
d12018194,4
d10060659,1
d11616946,1
d2040769,1
d5776152,1
d11841754,1
d3591150,2
d8791087,1
d3543959,1
d5263694,2
d10302313,4
d3267260,1
d13322935,3
d3543081,1
d12447161,1
d12354572,4
d953033,3
d6031001,5
d5799345,1
d5981466,1
d7276832,1
d12550964,1
d4150215,5
d7952588,4
d719083,3
d5408595,2
d12391114,1
d7332770,2
d1785149,6
d4588301,7
d7123553,1
d4295258,1
d697485,1
d4353632,3
d1035491,1
d12676684,1
d11770289,1
d5587837,1
d813990,3
d2259146,6
d10073699,1
d1099373,5
d797017,3
d11687952,1
d1019904,2
d4043773,2
d4226084,2
d13172414,3
d12911907,1
d3322305,2
d7805333,1
d6432242,6
d2478316,4
d4600249,2
d696117,8
d2176100,5
d3345223,3
d7361724,6
d5532357,1
d1359957,6
d2589168,5
d10027275,1
d1125197,1
d9459585,5
d5599563,1
d7623654,1
d2632522,2
d7332678,2
d10485816,4
d11688138,2
d5943832,3
d4768085,1
d2255569,3
d4597916,2
d7916036,1
d12350248,1
d1109944,3
d13197631,3
d918784,2
d8772965,2
d1324029,3
d6632829,1
d11667577,1
d12243659,2
d2445499,1
d2577881,1
d11951657,1
d751711,5
d3902868,2
d5487718,3
d7995801,1
d1331796,3
d8536895,1
d1328183,1
d10392913,1
d1097475,5
d7967318,1
d797737,4
d2226584,6
d13174390,3
d4052905,4
d5504724,6
d12681857,1
d7241440,3
d13094972,1
d5442784,1
d4942642,1
d2524119,2
d4770241,1
d8797372,7
d1496204,4
d11754798,1
d4085056,3
d12867794,3
d779921,8
d8118086,2
d2321047,1
d7994738,1
d10226097,2
d3612769,1
d697526,3
d10619071,4
d4600226,1
d10064175,2
d4476199,6
d9714837,5
d6403079,3
d5867903,1
d680500,3
d12111665,1
d5058767,2
d12949592,1
d13087286,5
d3671977,2
d1341738,3
d12556149,1
d11999809,3
d12710453,3
d4093614,5
d11995686,1
d694885,3
d2470800,3
d13284434,1
d13206789,2
d10336129,1
d4068550,5
d807906,2
d11998026,3
d11721387,5
d10498197,1
d12441400,1
d2722599,2
d7949523,4
d8734791,1
d2328380,3
d12068247,1
d10520643,1
d8401717,1
d2424319,1
d10677156,1
d9562461,1
d5979704,1
d13139218,1
d7214349,3
d3193915,2
d3691545,7
d795702,6
d2697097,1
d8124300,5
d3316640,3
d13001826,4
d793183,6
d12181566,3
d10242690,1
d7243246,1
d733450,5
d4014123,4
d10735345,1
d13198202,5
d5532050,4
d2085183,5
d6946964,5
d8661176,4
d8293300,1
d3873744,1
d12667708,5
d5322631,2
d734267,4
d719805,3
d4185485,5
d3849968,1
d11903856,1
d8660001,4
d4844610,1
d6519298,1
d11909263,1
d12999507,1
d12336001,1
d12254437,5
d2188472,1
d1347837,1
d8261215,1
d9741389,4
d8319709,1
d12572658,2
d12488103,1
d8857488,2
d4023512,6
d5264177,2
d1096951,3
d4946996,1
d1388962,7
d696038,6
d10070252,5
d10072291,4
d4814839,1
d11914515,1
d12598141,1
d1877226,2
d6703191,2
d5822584,7
d3912269,1
d3393987,2
d8729508,4
d1074698,1
d1953294,6
d10385156,3
d2011853,3
d3181518,5
d4961398,1
d1324782,1
d4506544,2
d5949148,4
d6603135,3
d715001,1
d4093995,3
d7359557,3
d5796187,1
d8635738,1
d3191302,3
d7621848,1
d2524764,2
d13064730,3
d719718,4
d5795989,1
d3192609,2
d5976718,4
d804943,2
d941095,4
d4436498,5
d8339930,1
d12875225,3
d6278406,1
d10039662,1
d811284,2
d5414878,4
d1035596,1
d953657,5
d12512228,1
d6206971,5
d3729391,2
d3970522,5
d10230660,1
d9984284,1
d785995,6
d4182633,3
d3405673,4
d10383695,2
d1489269,6
d1340332,5
d7146900,1
d2098938,2
d10533412,1
d10354665,3
d803842,6
d2477240,3
d1080720,6
d4293803,1
d780673,4
d4727188,1
d1103441,1
d1901926,1
d718909,2
d12423010,7
d13162505,3
d5872756,3
d3537392,3
d8599829,7
d12310002,1
d4585716,1
d10760580,1
d11888740,1
d8841562,1
d1039687,3
d2096546,2
d7734583,1
d6883153,4
d6672773,1
d6949479,2
d4211999,4
d4556019,1
d12049003,1
d12538734,4
d4930739,4
d10678700,4
d4697825,1
d944247,3
d695083,4
d4098079,1
d10395526,6
d789885,3
d4770088,1
d10331391,5
d1774775,4
d2323613,3
d12995806,2
d4748988,4
d3735127,2
d4591733,2
d813285,3
d6868018,3
d3242259,4
d6698437,1
d8736586,1
d1507237,6
d12384552,2
d3179035,1
d1545969,5
d1385082,4
d12081682,2
d779071,5
d5536153,4
d8415205,5
d1965515,1
d1231908,6
d5122063,1
